id,budget,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,genres_all,genres_major,production_companies_major,production_countries_major,spoken_languages_major
26441,0,The Big Green,5.982764,34971,0,100,Released,The Big Green,5.2,41,Action; Adventure; Comedy; Family,Action,Walt Disney Pictures,United States of America,English
97406,0,Georgia,4.093443,34838,0,115,Released,Georgia,6.1,15,Drama,Drama,Miramax Films,France,English
124057,0,Kids of the Round Table,0.307075,35619,0,89,Released,Kids of the Round Table,3,1,,,Telefilm Canada,,English
9089,0,Home for the Holidays,8.416802,35005,17519169,103,Released,Home for the Holidays,6.3,39,Comedy; Drama; Romance,Comedy,Paramount Pictures,United States of America,English
11010,0,Il postino,10.168437,34599,0,108,Released,The Postman,7.6,181,Comedy; Drama; Romance,Comedy,,Belgium,Italiano
99040,0,Le confessionnal,0.120789,34971,0,100,Released,The Confessional,6.5,2,Thriller; Drama; Mystery,Thriller,,Canada,English
11359,45000000,The Indian in the Cupboard,10.673296,34894,0,96,Released,The Indian in the Cupboard,5.9,136,Adventure; Family; Fantasy,Adventure,Paramount Pictures,United States of America,English
17182,20000000,Eye for an Eye,4.733526,35076,0,101,Released,Eye for an Eye,5.8,65,Drama; Thriller,Drama,Paramount Pictures,United States of America,English
2054,0,Mr. Holland's Opus,7.137117,35062,106269971,137,Released,Mr. Holland's Opus,6.9,115,Music; Drama; Family,Music,Hollywood Pictures,United States of America,English
10607,0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,35076,0,89,Released,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192,Comedy,Comedy,Miramax Films,United States of America,English
19760,0,Two If by Sea,2.174487,35076,0,96,Released,Two If by Sea,4.5,14,Comedy; Romance,Comedy,Warner Bros.,United States of America,English
9536,15000000,Bio-Dome,6.387469,35076,0,88,Released,Bio-Dome,4.4,110,Comedy,Comedy,Metro-Goldwyn-Mayer (MGM),United States of America,English
11525,0,Lawnmower Man 2: Beyond Cyberspace,2.49535,35076,2409225,92,Released,Lawnmower Man 2: Beyond Cyberspace,2.8,32,Action; Science Fiction,Action,New Line Cinema,United States of America,English
40628,0,Two Bits,4.046208,34994,0,85,Released,Two Bits,5.4,11,Drama; Family,Drama,Miramax Films,United States of America,English
4482,0,Gazon maudit,2.518051,34738,0,95,Released,French Twist,6,43,Comedy; Romance,Comedy,Renn Productions,France,FranÃ§ais
10634,3500000,Friday,14.56965,34815,28215918,91,Released,Friday,7,513,Comedy,Comedy,New Line Cinema,United States of America,English
755,19000000,From Dusk Till Dawn,15.339153,35083,25836616,108,Released,From Dusk Till Dawn,6.9,1644,Horror; Action; Thriller; Crime,Horror,A Band Apart,United States of America,English
11859,50000000,Fair Game,5.912223,35006,11534477,91,Released,Fair Game,4.1,54,Action; Thriller; Romance,Action,Silver Pictures,United States of America,English
28387,0,Kicking and Screaming,3.367276,34978,718490,96,Released,Kicking and Screaming,7,36,Comedy; Drama; Romance,Comedy,Castleberg Productions,United States of America,English
48750,0,Les misÃ©rables,1.479446,34780,0,175,Released,Les Miserables,6.6,8,Drama; History,Drama,Les Films 13,France,FranÃ§ais
20927,0,Bed of Roses,10.412194,35090,19030691,87,Released,Bed of Roses,5.1,27,Drama; Romance,Drama,New Line Cinema,United States of America,English
36929,15000000,Big Bully,2.936443,35090,2042530,90,Released,Big Bully,3.9,16,Comedy; Family,Comedy,Warner Bros.,United States of America,English
9102,20000000,Screamers,12.758848,34950,5781885,108,Released,Screamers,6.1,154,Horror; Science Fiction,Horror,The Movie Network (TMN),Canada,English
124626,0,Nico Icon,0.133893,34748,0,70,Released,Nico Icon,7.3,3,Documentary,Documentary,Zweites Deutsches Fernsehen (ZDF),Germany,Deutsch
27526,0,The Crossing Guard,5.756462,35018,0,111,Released,The Crossing Guard,6.1,74,Drama; Thriller,Drama,Miramax Films,United States of America,English
9623,44000000,The Juror,6.010579,35097,0,118,Released,The Juror,5.5,91,Drama; Thriller,Drama,Columbia Pictures Corporation,United States of America,English
46785,0,Ø¨Ø§Ø¯Ú©Ù†Ú© Ø³ÙÛŒØ¯,1.196256,34700,0,85,Released,The White Balloon,7.5,20,Family; Drama,Family,I.R.I.B. Channel 2,Iran,ÙØ§Ø±Ø³ÛŒ
400,8000000,Things to Do in Denver When You're Dead,4.486179,35034,529766,116,Released,Things to Do in Denver When You're Dead,6.7,87,Drama; Crime,Drama,Miramax Films,United States of America,English
880,900000,Antonia,2.030174,34954,0,102,Released,Antonia's Line,7.2,26,Drama; Comedy,Drama,Bergen Film,Netherlands,Nederlands
146599,0,Once Upon a Time... When We Were Colored,0.252287,35090,0,115,Released,Once Upon a Time... When We Were Colored,4.5,2,Romance; Drama,Romance,BET Pictures,United States of America,English
188588,0,Last Summer in the Hamptons,0.531159,35025,0,108,Released,Last Summer in the Hamptons,0,0,,,,,
8447,0,Angels and Insects,2.15166,34952,0,118,Released,Angels and Insects,6.3,17,Drama; Romance,Drama,Playhouse International Pictures,United Kingdom,English
10534,38000000,White Squall,9.568604,35097,10300000,129,Released,White Squall,6.3,86,Action; Drama,Action,Hollywood Pictures,United States of America,Dansk
17414,16000000,Dunston Checks In,4.814825,35076,0,88,Released,Dunston Checks In,5.1,59,Adventure; Comedy; Family,Adventure,Twentieth Century Fox Film Corporation,United States of America,English
13997,0,Black Sheep,8.963037,35096,32,87,Released,Black Sheep,6,124,Comedy,Comedy,Paramount Pictures,United States of America,English
2086,8169363,Nick of Time,6.848591,35025,8175346,90,Released,Nick of Time,6.1,190,Crime; Drama; Thriller,Crime,Paramount Pictures,United States of America,English
61548,0,The Journey of August King,0.411424,34956,0,91,Released,The Journey of August King,6.7,3,Drama,Drama,Miramax Films,United States of America,English
9095,47000000,Mary Reilly,12.866139,35118,12379402,104,Released,Mary Reilly,5.7,77,Drama; Horror; Thriller; Romance,Drama,TriStar Pictures,United States of America,English
12158,14000000,Vampire in Brooklyn,9.071127,34998,19800000,100,Released,Vampire in Brooklyn,4.5,113,Comedy; Horror; Romance,Comedy,Paramount Pictures,United States of America,English
9283,0,Beautiful Girls,4.670562,35104,0,112,Released,Beautiful Girls,6.6,103,Comedy; Drama; Romance,Comedy,Miramax Films,United States of America,English
9208,50000000,Broken Arrow,14.957626,35104,150270147,108,Released,Broken Arrow,5.7,459,Action; Adventure; Drama; Thriller,Action,Twentieth Century Fox Film Corporation,United States of America,English
40154,0,A Midwinter's Tale,0.513391,35034,0,99,Released,A Midwinter's Tale,7.5,6,Comedy,Comedy,Castle Rock Entertainment,United Kingdom,English
406,3000000,La Haine,12.108196,34850,0,98,Released,La Haine,7.9,695,Drama,Drama,Egg Pictures,France,FranÃ§ais
45549,0,Shopping,2.657647,34674,0,105,Released,Shopping,5.6,13,Action; Adventure; Drama; Science Fiction; Thriller,Action,Channel Four Films,United Kingdom,English
63076,0,Heidi Fleiss: Hollywood Madam,0.638211,35060,0,106,Released,Heidi Fleiss: Hollywood Madam,6.8,4,Documentary,Documentary,British Broadcasting Corporation (BBC),United Kingdom,English
11062,0,City Hall,4.807223,35111,0,111,Released,City Hall,6,67,Drama; Thriller,Drama,Columbia Pictures,United States of America,English
13685,7000000,Bottle Rocket,6.904831,35116,560069,91,Released,Bottle Rocket,6.8,285,Comedy; Crime; Drama,Comedy,Gracie Films,United States of America,EspaÃ±ol
47475,0,Mr. Wrong,3.329264,35111,0,96,Released,Mr. Wrong,3.3,16,Comedy; Romance,Comedy,Touchstone Pictures,United States of America,English
2045,18000000,Unforgettable,2.464425,35118,0,106,Released,Unforgettable,5.3,22,Drama; Mystery; Science Fiction; Thriller,Drama,Metro-Goldwyn-Mayer (MGM),United States of America,English
9614,12000000,Happy Gilmore,9.592265,35111,41205099,92,Released,Happy Gilmore,6.5,767,Comedy,Comedy,Universal Pictures,United States of America,English
688,24000000,The Bridges of Madison County,5.951077,34847,182016617,135,Released,The Bridges of Madison County,7.3,397,Drama; Romance,Drama,Amblin Entertainment,United States of America,English
11907,0,Keiner liebt mich,1.015068,34645,0,104,Released,Nobody Loves Me,5.1,5,Drama; Comedy; Family,Drama,,Germany,Deutsch
10874,0,Muppet Treasure Island,6.902423,35111,34327391,100,Released,Muppet Treasure Island,6.5,93,Action; Comedy; Music; Family; Adventure,Action,Walt Disney Pictures,United States of America,English
89333,0,Catwalk,0.976707,35041,0,95,Released,Catwalk,7,2,Documentary,Documentary,,,English
96357,0,Headless Body in Topless Bar,0.001346,34839,0,110,Released,Headless Body in Topless Bar,0,0,Crime,Crime,,,
197,72000000,Braveheart,20.755149,34843,210000000,177,Released,Braveheart,7.7,3404,Action; Drama; History; War,Action,Icon Entertainment International,United States of America,English
103,1300000,Taxi Driver,14.092713,27797,28262574,114,Released,Taxi Driver,8.1,2632,Crime; Drama,Crime,Columbia Pictures Corporation,United States of America,English
33542,7500000,ç´…ç•ªå€,12.314278,34729,32392047,91,Released,Rumble in the Bronx,6.5,245,Crime; Action; Comedy; Thriller,Crime,New Line Cinema,Hong Kong,å¹¿å·žè¯ / å»£å·žè©±
43566,35000000,Before and After,2.938293,35118,0,108,Released,Before and After,5.8,37,Drama; Thriller,Drama,Caravan Pictures,United States of America,English
71754,0,Margaret's Museum,0.372697,34955,0,114,Released,Margaret's Museum,7.5,2,Drama,Drama,TÃ©lÃ©film Canada,Canada,English
43612,13365000,Le Bonheur est dans le prÃ©,1.254885,34730,0,106,Released,Happiness Is in the Field,7,23,Comedy,Comedy,France 2 CinÃ©ma,France,FranÃ§ais
51352,0,Anne Frank Remembered,0.243986,34858,1,117,Released,Anne Frank Remembered,7.3,4,Documentary; Drama; Foreign,Documentary,,United Kingdom,English
16934,0,The Young Poisoner's Handbook,6.178497,34719,0,99,Released,The Young Poisoner's Handbook,6.9,19,Comedy; Crime; Drama,Comedy,Bavaria Film and Television Fund,Germany,English
10324,0,If Lucy Fell,2.891918,35132,0,92,Released,If Lucy Fell,5.4,11,Comedy; Romance,Comedy,TriStar Pictures,United States of America,English
78406,25000000,Steal Big Steal Little,1.522412,34971,6278139,113,Released,Steal Big Steal Little,5.1,7,Comedy; Drama,Comedy,Savoy Pictures,United States of America,English
55731,0,Race the Sun,1.317878,35146,0,100,Released,Race the Sun,5.2,21,Action; Adventure; Comedy; Drama; Family,Action,TriStar Pictures,United States of America,English
32119,0,The Boys of St. Vincent,0.86539,33944,0,90,Released,The Boys of St. Vincent,7,7,Drama,Drama,,Canada,English
11066,40000000,Boomerang,6.506983,33785,70100000,117,Released,Boomerang,5.4,139,Comedy; Romance,Comedy,Paramount Pictures,United States of America,FranÃ§ais
11104,0,é‡æ…¶æ£®æž—,6.778979,34529,0,102,Released,Chungking Express,7.9,249,Drama; Comedy; Romance,Drama,Jet Tone Production,Hong Kong,å¹¿å·žè¯ / å»£å·žè©±
37975,0,L'uomo delle stelle,1.702639,34963,0,113,Released,The Star Maker,6.8,29,Drama; Romance,Drama,Cecchi Gori Group Tiger Cinematografica,Italy,Italiano
2074,7000000,Flirting with Disaster,5.579088,35146,14702438,92,Released,Flirting with Disaster,6.3,66,Comedy; Romance,Comedy,Miramax Films,United States of America,English
27793,17000000,The NeverEnding Story III,6.252377,34633,0,95,Released,The Neverending Story III: Escape from Fantasia,4.4,105,Fantasy,Fantasy,Studio Babelsberg,Germany,English
44284,0,ØµÙ…Øª Ø§Ù„Ù‚ØµÙˆØ±,0.406754,34607,0,116,Released,The Silences of the Palace,4.3,3,Drama,Drama,Canal Horizons,Tunisia,Ø§Ù„Ø¹Ø±Ø¨ÙŠØ©
290157,0,Jupiter's Wife,0.001178,34700,0,87,Released,Jupiter's Wife,0,0,,,,,
110972,0,Pie in the Sky,0.699066,35104,0,95,Released,Pie in the Sky,7,2,Comedy; Romance,Comedy,,,English
32622,0,Angela,2.197439,34700,0,99,Released,Angela,5.6,9,Comedy; Drama,Comedy,,United States of America,English
73067,0,Frankie Starlight,0.637554,35025,0,101,Released,Frankie Starlight,5.4,4,Drama; Romance; War,Drama,Fine Line Features,United Kingdom,English
11863,50000000,Jade,11.418917,34985,9851610,95,Released,Jade,5.1,45,Action; Thriller; Mystery; Romance,Action,Paramount Pictures,United States of America,English
55475,0,Nueba Yol,0.291021,34927,0,102,Released,Nueba Yol,5.5,1,Comedy; Drama; Romance,Comedy,Cigua Films,Dominican Republic,EspaÃ±ol
124636,0,Sonic Outlaws,0.001838,34912,0,87,Released,Sonic Outlaws,0,0,Music; Documentary,Music,,United States of America,English
9101,0,Down Periscope,5.184977,35125,0,92,Released,Down Periscope,5.6,110,Comedy,Comedy,Twentieth Century Fox Film Corporation,United States of America,English
123360,0,From the Journals of Jean Seberg,0.276401,34950,0,97,Released,From the Journals of Jean Seberg,6.5,2,Documentary,Documentary,Couch Potatoe Productions,United States of America,English
5757,0,Man of the Year,0.540436,34957,209935,86,Released,Man of the Year,3.8,2,Comedy,Comedy,,United States of America,English
39428,0,The Neon Bible,0.370342,34934,0,91,Released,The Neon Bible,7.2,5,Drama,Drama,Channel Four Films,United Kingdom,English
124639,0,Target,0.001205,34912,0,122,Released,Target,0,0,,,,,
9302,60000000,Up Close & Personal,3.402749,35125,0,119,Released,Up Close & Personal,5.9,51,Drama; Romance,Drama,Cinergi Pictures Entertainment,United States of America,FranÃ§ais
11000,31000000,The Birdcage,6.49968,35132,185260553,117,Released,The Birdcage,6.7,303,Comedy,Comedy,United Artists,United States of America,English
249882,0,Gospa,0.918504,34984,0,125,Released,Virgin Mary,7,2,Drama,Drama,,Croatia,English
16388,0,The Brothers McMullen,2.039196,34920,0,98,Released,The Brothers McMullen,6.3,23,Comedy; Drama; Romance,Comedy,Fox Searchlight Pictures,United States of America,English
9737,19000000,Bad Boys,9.262184,34796,141407024,118,Released,Bad Boys,6.5,1729,Action; Comedy; Crime; Thriller,Action,Columbia Pictures,United States of America,English
30765,0,The Amazing Panda Adventure,2.375865,34936,0,81,Released,The Amazing Panda Adventure,5,31,Action; Adventure; Drama; Family,Action,Warner Bros.,United States of America,Deutsch
10474,0,The Basketball Diaries,7.415144,34810,0,102,Released,The Basketball Diaries,7.2,472,Drama; Crime,Drama,New Line Cinema,United States of America,English
22279,4000000,An Awfully Big Adventure,0.922958,34901,851545,113,Released,An Awfully Big Adventure,6,11,Romance; Drama; Comedy,Romance,Fine Line Features,United Kingdom,English
30157,0,Amateur,1.759012,34551,0,105,Released,Amateur,6.5,21,Crime; Comedy; Drama; Thriller,Crime,Channel Four Films,France,English
568,52000000,Apollo 13,18.761467,34880,355237933,140,Released,Apollo 13,7.3,1637,Drama,Drama,Imagine Entertainment,United States of America,English
11780,28000000,Rob Roy,10.193549,34802,31596911,139,Released,Rob Roy,6.5,151,Adventure,Adventure,United Artists,United Kingdom,English
34996,0,The Addiction,3.137285,34709,0,82,Released,The Addiction,6.4,46,Drama; Horror,Drama,October Films,United States of America,English
414,100000000,Batman Forever,13.321354,34866,336529144,121,Released,Batman Forever,5.2,1529,Action; Crime; Fantasy,Action,Warner Bros.,United Kingdom,English
649,0,Belle de jour,10.142662,24616,0,101,Released,Belle de Jour,7.3,163,Drama; Romance,Drama,Paris Films Productions,France,FranÃ§ais
1873,0,Beyond Rangoon,2.04189,34843,0,100,Released,Beyond Rangoon,6.4,21,Drama; Thriller,Drama,Columbia Pictures,,English
5894,2000000,Blue in the Face,11.528147,34957,1275000,83,Released,Blue in the Face,6.8,28,Comedy,Comedy,Miramax Films,United States of America,English
1775,11000000,Canadian Bacon,5.391556,34858,178104,91,Released,Canadian Bacon,5.9,57,Action; Comedy,Action,PolyGram Filmed Entertainment,Canada,English
8839,50000000,Casper,12.812539,34845,287928194,100,Released,Casper,6,1045,Fantasy; Comedy; Family,Fantasy,Universal Pictures,United States of America,English
20649,25000000,Clockers,4.558992,34957,13071518,128,Released,Clockers,6.8,69,Mystery; Crime; Drama,Mystery,Universal Pictures,United States of America,English
10329,50000000,Congo,7.260574,34859,152022101,109,Released,Congo,5,214,Action; Adventure; Drama; Mystery; Science Fiction; Thriller,Action,Paramount Pictures,United States of America,English
8963,53000000,Crimson Tide,8.657365,34831,157387195,116,Released,Crimson Tide,7,508,Action; Thriller; Drama,Action,Hollywood Pictures,United States of America,English
26564,0,Crumb,3.620388,34587,3174695,119,Released,Crumb,7.6,71,Documentary,Documentary,Superior Pictures,United States of America,English
8068,7000000,Desperado,6.950458,34936,25405445,104,Released,Desperado,6.8,898,Thriller; Action; Crime,Thriller,Columbia Pictures,United States of America,English
8512,27000000,Devil in a Blue Dress,4.646132,34957,16140822,102,Released,Devil in a Blue Dress,6.3,88,Drama; Mystery; Thriller,Drama,TriStar Pictures,United States of America,English
1572,90000000,Die Hard: With a Vengeance,15.138855,34838,366101666,128,Released,Die Hard: With a Vengeance,6.9,2094,Action; Thriller,Action,Twentieth Century Fox Film Corporation,United States of America,English
13552,0,The Doom Generation,7.120806,34999,0,80,Released,The Doom Generation,5.6,57,Action; Comedy; Crime; Drama,Action,Why Not Productions,France,English
259209,0,Feast of July,0.523575,34984,0,116,Released,Feast of July,0,0,Drama; Crime,Drama,Touchstone Pictures,,English
6520,55000000,First Knight,15.178338,34887,127600435,134,Released,First Knight,5.9,319,Action; Adventure; Drama; Romance,Action,Columbia Pictures Corporation,United States of America,English
9073,0,Free Willy 2 - The Adventure Home,7.575098,34899,0,95,Released,Free Willy 2 - The Adventure Home,5.5,130,Adventure,Adventure,Regency Enterprises,France,English
10428,20000000,Hackers,14.810519,34956,7563728,107,Released,Hackers,6.2,406,Action; Crime; Thriller; Drama,Action,United Artists,United States of America,English
17447,0,Jeffrey,3.196456,34929,0,92,Released,Jeffrey,6.5,19,Comedy; Drama; Romance,Comedy,The Booking Office,United States of America,English
9886,25000000,Johnny Mnemonic,11.715868,34845,19075720,97,Released,Johnny Mnemonic,5.5,380,Adventure; Action; Drama; Science Fiction; Thriller,Adventure,TriStar Pictures,Canada,English
9482,90000000,Judge Dredd,8.184815,34880,113493481,96,Released,Judge Dredd,5.4,643,Science Fiction,Science Fiction,Hollywood Pictures,United States of America,English
19326,0,Jury Duty,3.676921,34801,17014653,88,Released,Jury Duty,4,34,Comedy; Drama,Comedy,TriStar Pictures,United States of America,English
9344,1500000,Kids,4.877872,34908,7412216,91,Released,Kids,6.8,280,Drama; Crime,Drama,Miramax Films,United States of America,English
9071,500000,Living in Oblivion,10.058329,34719,1148752,89,Released,Living in Oblivion,7.2,64,Drama; Comedy,Drama,JDI productions,United States of America,English
8973,0,Lord of Illusions,4.102409,34936,0,119,Released,Lord of Illusions,5.9,87,Mystery; Horror; Thriller,Mystery,United Artists,United States of America,English
15730,0,Love & Human Remains,0.354014,34109,0,100,Released,Love & Human Remains,7,7,Comedy; Drama,Comedy,The Ontario Film Development Corporation,Canada,English
47608,0,Mad Love,2.624771,34845,15453274,95,Released,Mad Love,5.5,27,Drama; Family; Romance,Drama,Touchstone Pictures,United States of America,English
2293,6000000,Mallrats,8.25547,34992,2122561,94,Released,Mallrats,6.8,400,Romance; Comedy,Romance,Universal Pictures,United States of America,English
9070,15000000,Mighty Morphin Power Rangers: The Movie,7.024227,34880,66000000,92,Released,Mighty Morphin Power Rangers: The Movie,5.2,153,Action; Adventure; Science Fiction; Family; Fantasy,Action,Twentieth Century Fox Film Corporation,Japan,English
68274,0,Moonlight and Valentino,1.01115,34971,0,100,Released,Moonlight and Valentino,5.6,10,Comedy; Drama; Romance,Comedy,PolyGram Filmed Entertainment,United Kingdom,English
48787,2,Mute Witness,2.466066,34970,1,95,Released,Mute Witness,6.4,36,Thriller; Foreign,Thriller,Comet Film Produktion GmbH,Germany,PÑƒÑÑÐºÐ¸Ð¹
